	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
MAX_14	11.7258574905607	12.6801	1.20816237158587	0.0392608006159995	218182	8566	0.0474334219825859	27449	1302	MAX_14
CENPB_289	11.2854574905607	12.2397	1.41277929230736	0.0104179079850767	218182	2273	0.0147182046704798	27449	404	CENPB_289
TFAP4_23	11.0544574905607	12.0087	1.10237297417479	0.133778221851482	218182	29188	0.147473496302233	27449	4048	TFAP4_23
MYCN_52	10.6341574905607	11.5884	1.21326279951805	0.034141221548982	218182	7449	0.041422274035484	27449	1137	MYCN_52
AL8445277_699	10.5371574905607	11.4914	1.17028995388817	0.0514891237590635	218182	11234	0.0602572042697366	27449	1654	AL8445277_699
AL6628245_700	10.5371574905607	11.4914	1.17028995388817	0.0514891237590635	218182	11234	0.0602572042697366	27449	1654	AL6628245_700
CR7597334_701	10.5371574905607	11.4914	1.17028995388817	0.0514891237590635	218182	11234	0.0602572042697366	27449	1654	CR7597334_701
CR3545653_702	10.5371574905607	11.4914	1.17028995388817	0.0514891237590635	218182	11234	0.0602572042697366	27449	1654	CR3545653_702
CR9368773_703	10.5371574905607	11.4914	1.17028995388817	0.0514891237590635	218182	11234	0.0602572042697366	27449	1654	CR9368773_703
ELF1_329	10.5061574905607	11.4604	1.14768680325362	0.0667241110632408	218182	14558	0.0765783817261102	27449	2102	ELF1_329
HIVEP1_170	10.2010574905607	11.1553	1.12791948844023	0.0842370131358224	218182	18379	0.0950125687638894	27449	2608	HIVEP1_170
HIVEP3_824	10.2010574905607	11.1553	1.12791948844023	0.0842370131358224	218182	18379	0.0950125687638894	27449	2608	HIVEP3_824
ID2_35	10.1767574905607	11.131	1.2369668192176	0.0268308109743242	218182	5854	0.0331888229079384	27449	911	ID2_35
ID1_47	10.1767574905607	11.131	1.2369668192176	0.0268308109743242	218182	5854	0.0331888229079384	27449	911	ID1_47
ATOH1_844	8.96835749056067	9.9226	1.11951956809011	0.0845761795198504	218182	18453	0.0946846879667747	27449	2599	ATOH1_844
ETV6_335	8.89985749056068	9.8541	1.13902606355853	0.0638091134924054	218182	13922	0.0726802433604139	27449	1995	ETV6_335
ATF1_118	8.25705749056067	9.2113	1.26750721273418	0.0173891521757065	218182	3794	0.0220408758060403	27449	605	ATF1_118
MAFA_146	8.08725749056067	9.0415	1.09479501071199	0.116169069859108	218182	25346	0.127181318080804	27449	3491	MAFA_146
MNT_20	7.90015749056067	8.8544	1.19910934341757	0.0291362257198119	218182	6357	0.0349375204925498	27449	959	MNT_20
THAP1_798	7.88245749056068	8.8367	1.11253013118956	0.0837649301958915	218182	18276	0.0931910087799191	27449	2558	THAP1_798
SMAD2_745	7.85875749056068	8.813	1.11252936758264	0.0835357637201969	218182	18226	0.0929359903821633	27449	2551	SMAD2_745
CREB1_117	7.78805749056067	8.7423	1.26539948663561	0.0166695694420255	218182	3637	0.0210936646143757	27449	579	CREB1_117
ZNF589_225	7.70095749056068	8.6552	1.18148070194671	0.0338570551191207	218182	7387	0.0400014572479872	27449	1098	ZNF589_225
E4F1_234	7.51225749056067	8.4665	1.34390005545789	0.00984040846632628	218182	2147	0.0132245254836242	27449	363	E4F1_234
CREB3L2_145	7.44325749056068	8.3975	1.19016949859175	0.0299978916684236	218182	6545	0.0357025756858173	27449	980	CREB3L2_145
