baitID	preyID	N
52174	52062	5
52174	52154	5
52174	52157	5
52174	52158	5
52174	52094	5
52174	52130	5
52174	52068	5
52174	52069	5
67868	68060	5
67868	67817	5
67868	67957	5
67868	67972	5
67868	67842	5
67868	67964	5
67868	67974	5
67868	67829	5
67868	68035	5
67868	67962	5
67868	67917	5
67868	67878	5
96744	96878	5
96744	96881	5
96744	96859	5
96744	96624	5
96744	96864	5
96744	96905	5
96744	96822	5
96744	96853	5
96744	96641	5
96744	96823	5
96744	96855	5
96744	96625	5
96744	96835	5
96744	96666	5
96744	96717	5
96744	96627	5
116442	116407	5
116442	116427	5
116442	116320	5
116442	116494	5
116442	116545	5
116442	116465	5
116442	116412	5
116442	116492	5
116442	116367	5
116442	116340	5
116442	116392	5
116442	116470	5
116442	116374	5
116442	116401	5
116442	116529	5
116442	116343	5
116442	116322	5
122846	122818	5
122846	122861	5
122846	122926	5
122846	122934	5
122846	122949	5
122846	122951	5
122846	122944	5
122846	122939	5
158037	158075	5
158037	158087	5
158037	158108	5
188056	188053	5
234583	234715	5
234583	234707	5
234583	234522	5
234583	234510	5
234583	234734	5
234583	234723	5
234583	234508	5
234583	234546	5
234583	234635	5
234583	234528	5
234583	234705	5
234583	234739	5
234583	234512	5
234583	234781	5
234583	234704	5
234583	234756	5
234583	234852	5
234583	234851	5
234583	234776	5
234583	234759	5
234583	234666	5
234583	234660	5
234583	234706	5
234583	234735	5
234583	234860	5
234583	234634	5
234583	234769	5
234583	234709	5
234583	234840	5
234583	234713	5
234583	234733	5
252022	251935	5
252022	251927	5
252022	251972	5
252022	252014	5
252022	251936	5
252022	251957	5
252022	252051	5
252022	251894	5
252022	252057	5
252022	252054	5
252022	251919	5
252022	251960	5
252022	252045	5
252022	252053	5
252022	251964	5
252022	251944	5
252022	251869	5
252022	251963	5
255348	255390	5
255348	255368	5
255348	255314	5
255348	255329	5
255348	255392	5
255348	255393	5
280227	280211	5
280227	280264	5
280227	280213	5
280227	280217	5
280227	280196	5
436209	436341	5
436209	436172	5
436209	436292	5
436209	436224	5
436209	436314	5
436209	436197	5
436209	436420	5
436209	436284	5
436209	436242	5
436209	436261	5
436209	436300	5
436209	436243	5
436209	436273	5
436209	436405	5
465996	465937	5
465996	465954	5
465996	465833	5
465996	465925	5
465996	466043	5
465996	465901	5
465996	465906	5
465996	465883	5
465996	465958	5
465996	465942	5
577412	577414	5
577412	578062	5
577412	577416	5
608973	609512	5
608973	609403	5
608973	609027	5
608973	609189	5
608973	609410	5
608973	609229	5
608973	609243	5
608973	609005	5
608973	608843	5
608973	609193	5
608973	608866	5
608973	609029	5
608973	609877	5
608973	609150	5
608973	609135	5
608973	608374	5
608973	609686	5
608973	609328	5
608973	609113	5
608973	610004	5
608973	609127	5
608973	609072	5
608973	609137	5
608973	609248	5
608973	610119	5
608973	608883	5
608973	609833	5
608973	609254	5
608973	609025	5
608973	609241	5
608973	610133	5
608973	609155	5
608973	609413	5
608973	609047	5
608973	608995	5
608973	609617	5
613959	613952	5
613959	613950	5
613959	613969	5
658107	658063	5
754400	754505	5
754400	754447	5
754400	754428	5
754400	754357	5
754400	754530	5
754400	754469	5
754400	754346	5
754400	754430	5
754400	754456	5
754400	754489	5
754400	754474	5
754400	754494	5
754400	754362	5
754400	754466	5
754400	754361	5
754400	754440	5
754400	754352	5
777250	777266	5
777250	777271	5
777250	777274	5
777254	777264	5
777254	777293	5
777254	777233	5
52174	52114	4
52174	51985	4
52174	52035	4
52174	52081	4
52174	52042	4
52174	52090	4
52174	52067	4
52174	52232	4
52174	52243	4
52174	52160	4
52174	52237	4
52174	52229	4
52174	52098	4
52174	52054	4
52174	52051	4
52174	52075	4
52174	52096	4
52174	52117	4
52174	51940	4
52174	52112	4
67868	67825	4
67868	67999	4
67868	67839	4
67868	68042	4
67868	67969	4
67868	67920	4
67868	67835	4
67868	67983	4
67868	68079	4
67868	67819	4
67868	67909	4
67868	68062	4
67868	67910	4
67868	68029	4
67868	67827	4
67868	67908	4
67868	67814	4
67868	67841	4
67868	68057	4
67868	67837	4
67868	67820	4
67868	68056	4
67868	67810	4
67868	68020	4
67868	68073	4
67868	67826	4
67868	67979	4
67868	67745	4
67868	68066	4
67868	67998	4
67868	67977	4
67868	67805	4
96744	96847	4
96744	96955	4
96744	96634	4
96744	96837	4
96744	96921	4
96744	96857	4
96744	96850	4
96744	96902	4
96744	96689	4
96744	96648	4
96744	96848	4
96744	96865	4
96744	96599	4
96744	96861	4
96744	96926	4
96744	96626	4
96744	96568	4
96744	96673	4
96744	96858	4
96744	96889	4
96744	96603	4
96744	96652	4
96744	97024	4
116442	116513	4
116442	116134	4
116442	116342	4
116442	116297	4
116442	116563	4
116442	116519	4
116442	116525	4
116442	116361	4
116442	116541	4
116442	116538	4
116442	116225	4
116442	116478	4
116442	116493	4
116442	116344	4
116442	116471	4
116442	116422	4
116442	116408	4
116442	116495	4
116442	116354	4
116442	116489	4
116442	116417	4
116442	116386	4
116442	116316	4
116442	116280	4
116442	116345	4
116442	116338	4
116442	116508	4
122846	122933	4
122846	122697	4
122846	122938	4
122846	122923	4
122846	122943	4
122846	122703	4
122846	122834	4
122846	122862	4
122846	122789	4
158037	158074	4
234583	234765	4
234583	234535	4
234583	234736	4
234583	234748	4
234583	234550	4
234583	234717	4
234583	234487	4
234583	234744	4
234583	234771	4
234583	234894	4
234583	234537	4
234583	234933	4
234583	234895	4
234583	234858	4
234583	234553	4
234583	234796	4
234583	234519	4
234583	234703	4
234583	234549	4
234583	234928	4
234583	234857	4
234583	234714	4
234583	234930	4
234583	234485	4
234583	234625	4
234583	234424	4
234583	234841	4
234583	234798	4
234583	234629	4
234583	234687	4
234583	234670	4
234583	234763	4
234583	234778	4
234583	234762	4
234583	234868	4
250237	250211	4
252022	252257	4
252022	251868	4
252022	251930	4
252022	251879	4
252022	251924	4
252022	251875	4
252022	251985	4
252022	252056	4
252022	251884	4
252022	252047	4
252022	252003	4
252022	251989	4
252022	251921	4
252022	251920	4
252022	251994	4
252022	251903	4
252022	251974	4
252022	252065	4
252022	251917	4
252022	251996	4
252022	251938	4
252022	251931	4
252022	252050	4
255348	255377	4
255348	255367	4
255348	255356	4
255348	255371	4
255348	255352	4
255348	255378	4
255348	255360	4
255348	255340	4
255348	255320	4
280227	280294	4
280227	280212	4
280227	280231	4
280227	280202	4
280227	280261	4
280227	280254	4
436209	436354	4
436209	436198	4
436209	436144	4
436209	436349	4
436209	436251	4
436209	436322	4
436209	436138	4
436209	436258	4
436209	436150	4
436209	436291	4
436209	436365	4
436209	436309	4
436209	436276	4
436209	436315	4
436209	436325	4
436209	436338	4
436209	436293	4
436209	436260	4
436209	436268	4
436209	436229	4
436209	436181	4
436209	436359	4
436209	436416	4
436209	436356	4
436209	436335	4
436209	436257	4
436209	436194	4
436209	436185	4
436209	436280	4
436209	436308	4
436209	436228	4
436209	436264	4
436209	436278	4
436209	436196	4
436209	436285	4
436209	436220	4
436209	436342	4
436209	436222	4
436209	436171	4
436209	436326	4
436209	436254	4
436209	436319	4
465996	465808	4
465996	466136	4
465996	465922	4
465996	465885	4
465996	465841	4
465996	466052	4
465996	465499	4
465996	466046	4
465996	465932	4
465996	466070	4
465996	465948	4
465996	465945	4
465996	465938	4
465996	465867	4
465996	466047	4
465996	466137	4
465996	465809	4
465996	465918	4
465996	465884	4
465996	465950	4
465996	466049	4
485207	485201	4
577412	577312	4
577412	577413	4
577412	577417	4
577412	577486	4
608973	608363	4
608973	608857	4
608973	609065	4
